Sample	Family ID	Gender	Relationship
HG00096	HG00096	male	null
HG00097	HG00097	female	null
HG00098	HG00098	male	null
HG00099	HG00099	female	null
HG00100	HG00100	female	null
HG00101	HG00101	male	null
HG00102	HG00102	female	null
HG00103	HG00103	male	null
HG00104	HG00104	female	null
HG00105	HG00105	male	null
HG00106	HG00106	female	null
HG00107	HG00107	male	null
HG00108	HG00108	male	null
HG00109	HG00109	male	null
HG00110	HG00110	female	null
HG00111	HG00111	female	null
HG00112	HG00112	male	null
HG00113	HG00113	male	null
HG00114	HG00114	male	null
HG00115	HG00115	male	null
HG00116	HG00116	male	null
HG00117	HG00117	male	null
HG00118	HG00118	female	null
HG00119	HG00119	male	null
HG00120	HG00120	female	null
HG00121	HG00121	female	null
HG00122	HG00122	female	null
HG00123	HG00123	female	null
HG00124	HG00124	female	null
HG00125	HG00125	female	null
HG00126	HG00126	male	null
HG00127	HG00127	female	null
HG00128	HG00128	female	null
HG00129	HG00129	male	null
HG00130	HG00130	female	null
HG00131	HG00131	male	null
HG00132	HG00132	female	null
HG00133	HG00133	female	null
HG00134	HG00134	female	null
HG00135	HG00135	female	null
HG00136	HG00136	male	null
HG00137	HG00137	female	null
HG00138	HG00138	male	null
HG00139	HG00139	male	null
HG00140	HG00140	male	null
HG00141	HG00141	male	null
HG00142	HG00142	male	null
HG00143	HG00143	male	null
HG00144	GBR001	female	mother
HG00145	HG00145	male	null
HG00146	GBR002	female	child
HG00147	GBR002a	female	child
HG00148	HG00148	male	null
HG00149	HG00149	male	null
HG00150	HG00150	female	null
HG00151	HG00151	male	null
HG00152	HG00152	male	null
HG00153	GBR003	female	child
HG00154	HG00154	female	null
HG00155	GBR001	male	Child
HG00156	HG00156	male	null
HG00157	HG00157	male	null
HG00158	GBR003	female	mother
HG00159	HG00159	male	null
HG00160	HG00160	male	null
HG00171	HG00171	female	null
HG00173	HG00173	female	null
HG00174	HG00174	female	null
HG00176	HG00176	female	null
HG00177	HG00177	female	null
HG00178	HG00178	female	null
HG00179	HG00179	female	null
HG00180	HG00180	female	null
HG00181	HG00181	male	null
HG00182	HG00182	male	null
HG00183	HG00183	male	null
HG00185	HG00185	male	null
HG00186	HG00186	male	null
HG00187	HG00187	male	null
HG00188	HG00188	male	null
HG00189	HG00189	male	null
HG00190	HG00190	male	null
HG00231	HG00231	female	null
HG00232	HG00232	female	null
HG00233	HG00233	female	null
HG00234	HG00234	male	null
HG00235	HG00235	female	null
HG00236	HG00236	female	null
HG00237	HG00237	female	null
HG00238	HG00238	female	null
